bootstrap_objective,threshold_aggregation,fold,subject_id,label,pred_label,error_type,prob,threshold,margin,feature,raw_value_imputed,zscore,train_percentile,class0_mean_z,class1_mean_z,class_contrast_z,positive_side_score,direction,supports_error
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,VDJ_emg_VMO_abs_peak,353.8821716308594,1.5260469428007815,0.96875,0.22730616598870895,-0.5808935353044786,-0.8081997012931876,-1.7028406274586663,negative_like,True
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,SSC_ik_subtalar_angle_r_std,2.3902673362092317,-0.6611375055942771,0.28125,0.16786894359701018,-0.4289984114145816,-0.5968673550115918,0.5305727716854913,positive_like,False
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,VDJ_label_duration,0.27,-2.851516708873299,0.0,-0.2079647529613073,0.531465479790005,0.7394302327513123,-3.013267072287648,negative_like,True
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,VDJ_grf_grf2_vz_peak_t_ms,76.99999999999996,0.05160580999446435,0.84375,-0.21963632176388712,0.5612928222854884,0.7809291440493755,-0.11922244026633627,negative_like,True
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,VDJ_id_knee_angle_r_moment_mean,57.62781315294049,-0.8144117247090759,0.21875,0.09615509019980387,-0.24572967495505507,-0.34188476515485894,0.7396244323314503,positive_like,False
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,VDJ_imu_Accel_Earth_Y_mG_abs_peak,12548.9,-1.605397147238499,0.0625,0.1548754290216253,-0.3957927630552659,-0.5506681920768912,1.4849384802216785,positive_like,False
accuracy,q75,0,33,1,0,FN,0.215712311604823,0.3275245874785029,-0.1118122758736799,VDJ_id_hip_rotation_r_moment_mean,22.51986401811882,2.5960030247979184,1.0,-0.031704370122190476,0.08102227920115355,0.11272664932334403,2.5713440702584367,positive_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_emg_VLO_peak_t_ms,34.9999999999997,-1.0825777211327616,0.0625,0.3069691080716705,-0.7844766095164908,-1.0914457175881613,0.8438239704103515,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_emg_SEMITEND_min,20.5927734375,0.8740514857611049,0.8125,-0.3424469201171831,0.8751421291883568,1.21758904930554,0.6077038812255181,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,SSC_imu_roll_deg_peak_t_ms,14.15500000000014,-0.16495676791503083,0.75,0.27479986278301183,-0.7022663160010302,-0.977066178784042,-0.04877645869397834,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_ik_hip_adduction_r_range,7.711056538,-0.22332320075134,0.53125,-0.16148819699639638,0.41269205899079175,0.5741802559871881,-0.3489251317485377,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,SSC_syn2_early_integral,0.0309576988997532,-0.5609522941500065,0.25,0.16146353400030627,-0.41262903133411677,-0.5740925653344231,0.43536954548310125,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_id_knee_angle_r_moment_min,-34.16931760599996,-1.267618673084082,0.09375,-0.10065442179777381,0.25722796681653354,0.3578823886143073,-1.3459054455934618,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,SSC_ik_hip_rotation_r_range,24.031706839,1.4768754497489234,0.90625,0.09391026514167534,-0.2399928998065023,-0.3339031649481776,-1.5499167670813367,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_emg_VMO_max,156.2429656982422,-0.5970546704045657,0.40625,0.25131165755336204,-0.6422409026363697,-0.8935525601897317,0.4015900478630619,positive_like,True
